English,Hebrew
explore,לַחקוֹר
aspect,אַספֶּקט
fundamental,יְסוֹד
vary,לְהִשְׁתַנוֹת
delve into,להתעמק
practice,לְתַרְגֵל
decentralized,מבוזרת
curriculum,תוכנית לימודים
attend,לְטַפֵּל
core,ליבה
elective,מקצוע בחירה
emphasis,דָגֵשׁ
standardized,מְתוּקנָן
admission,הוֹדָאָה
performance,ביצועים
analyze,לְנַתֵחַ
concept,מוּשָׂג
theory,תֵאוֹרִיָה
research,מֶחקָר
evaluate,לְהַעֲרִיך
methodology,מֵתוֹדוֹלוֹגִיָה
framework,מִסגֶרֶת
outcome,תוֹצָאָה
insight,תוֹבָנָה
innovation,חדשנות
interpret,לְפַרֵשׁ
objective,מַטָרָה
perspective,פֶּרספֶּקטִיבָה
structure,מִבְנֶה
synthesis,סִינתֶזָה
policy,מְדִינִיוּת
relevant,רלוונטי
implementation,יישום
strategy,אִסטרָטֶגִיָה
rationale,רציונל
significant,מַשְׁמָעוּתִי
variable,מִשְׁתַנֶה
contrast,לְהַשְׁווֹת
component,רְכִיב
criteria,קריטריונים
discipline,מִשְׁמַעַת
hypothesis,הַשׁעָרָה
implication,מַשְׁמָעוּת
motivation,מוֹטִיבָצִיָה
philosophy,פִילוֹסוֹפִיָה
context,הֶקשֵׁר
resource,מַשׁאָב
collaboration,שיתוף פעולה
development,הִתפַּתְחוּת
institution,מוֹסָד
proficiency,מְיוּמָנוּת
requirement,דְרִישָׁה
transition,מַעֲבָר
enhancement,הַגבָּרָה
documentation,תיעוד
foundation,קֶרֶן
literacy,יְדִיעַת קְרוֹא וּכְתוֹב
participate,לְהִשְׂתַתֵף
specialize,לְהִתְמַחוֹת
assessment,הַעֲרָכָה
integration,הִשׁתַלְבוּת
validation,מַתַן תוֹקֵף
procedure,נוֹהָל
qualification,הַכשָׁרָה
registration,הַרשָׁמָה
competence,יְכוֹלֶת
graduate,בּוֹגֵר
undergraduate,סטוּדֶנט לְתוֹאָר רִאשׁוֹן
internship,תְקוּפַת הִתמַחוּת
networking,רשת
tuition,הוֹרָאָה
scholarship,מִלגָה
mentorship,חונכות
academic,אֲקָדֵמִי
peer,לְהָצִיץ
seminar,סֵמִינָר
lecture,הַרצָאָה
assignment,מְשִׁימָה
thesis,תֵזָה
citation,צִיטָטָה
journal,כְּתַב הָעֵת
plagiarism,גְנֵבָה סִפרוּתִית
accreditation,הַאֲמָנָה
enrollment,הַרשָׁמָה
institution,מוֹסָד
faculty,סגל
syllabus,סילבוס
prerequisite,תְנַאִי מוּקדָם
orientation,הִתמַצְאוּת
module,מודול
tutorial,שֶׁל מוֹרֶה
guidance,הַדְרָכָה
evaluation,הַעֲרָכָה
presentation,הַצָגָה
revision,עדכון
